method,N,n_runs,n_feasible,n_infeasible,feasibility_rate_pct,runtime_mean_all,runtime_mean_feasible,runtime_mean_infeasible,cost_mean_feasible
exact,1,5,5,0,100.00,0.0007,0.0007,,142.4570
exact,2,7,6,1,85.71,0.0045,0.0052,0.0004,249.9230
exact,3,2,2,0,100.00,0.0031,0.0031,,156.3995
exact,4,1,0,1,0.00,0.0010,,0.0010,
exact,5,5,5,0,100.00,0.0504,0.0504,,441.9915
exact,10,5,5,0,100.00,29.8242,29.8242,,767.9111
exact,15,5,5,0,100.00,5751.0214,5751.0214,,1147.9162
exact,20,5,5,0,100.00,15403.5461,15403.5461,,1334.4368
exact,30,5,5,0,100.00,14693.1937,14693.1937,,2166.7994
exact,31,1,1,0,100.00,11827.1509,11827.1509,,7283.8028
exact,36,1,1,0,100.00,18000.0088,18000.0088,,6398.7351
exact,44,1,1,0,100.00,18000.0258,18000.0258,,10877.9549
exact,50,5,5,0,100.00,18000.0312,18000.0312,,5174.8518
exact,53,1,1,0,100.00,18000.0163,18000.0163,,14362.7453
exact,59,1,1,0,100.00,18000.0220,18000.0220,,15785.5624
exact,75,5,3,2,60.00,18000.0494,18000.0617,18000.0310,9985.2277
exact,79,1,0,1,0.00,18000.0378,,18000.0378,
exact,100,6,3,3,50.00,18000.0782,18000.1231,18000.0334,22916.3623
exact,105,1,0,1,0.00,18000.0263,,18000.0263,
exact,109,1,0,1,0.00,18000.0297,,18000.0297,
exact,114,1,0,1,0.00,18000.0311,,18000.0311,
exact,119,1,1,0,100.00,18000.0734,18000.0734,,3926412.6661
exact,150,5,1,4,20.00,18000.7853,18000.3860,18000.8851,68464.2140
exact,200,5,0,5,0.00,18000.3510,,18000.3510,
ga,1,240,240,0,100.00,0.2486,0.2486,,142.4570
ga,2,336,288,48,85.71,0.3180,0.3200,0.3062,269.5288
ga,3,96,96,0,100.00,0.3961,0.3961,,156.3995
ga,4,48,0,48,0.00,0.4488,,0.4488,
ga,5,240,240,0,100.00,0.4878,0.4878,,450.3949
ga,10,240,240,0,100.00,0.7528,0.7528,,831.8958
ga,15,240,240,0,100.00,1.0057,1.0057,,1621.3837
ga,20,240,240,0,100.00,1.3307,1.3307,,1716.5744
ga,30,240,240,0,100.00,2.0271,2.0271,,2736.5926
ga,31,48,48,0,100.00,2.1328,2.1328,,9177.6352
ga,36,48,48,0,100.00,2.5085,2.5085,,8864.6076
ga,44,48,48,0,100.00,3.1190,3.1190,,12274.0360
ga,50,240,240,0,100.00,3.4928,3.4928,,7033.7786
ga,53,48,48,0,100.00,3.8070,3.8070,,14133.2189
ga,59,48,48,0,100.00,4.3547,4.3547,,17649.7040
ga,75,240,240,0,100.00,5.7241,5.7241,,11195.2728
ga,79,48,48,0,100.00,5.9754,5.9754,,20609.3523
ga,100,288,288,0,100.00,8.0782,8.0782,,715753.5032
ga,105,48,48,0,100.00,8.0321,8.0321,,4236480.7661
ga,109,48,48,0,100.00,8.5182,8.5182,,2498089.3384
ga,114,48,1,47,2.08,9.2166,27.9946,8.8170,2290469.7025
ga,119,48,48,0,100.00,8.5473,8.5473,,3462106.2462
ga,150,240,240,0,100.00,14.7559,14.7559,,36298.0084
ga,200,240,240,0,100.00,26.8537,26.8537,,58987.6574
savings,1,5,5,0,100.00,0.0000,0.0000,,142.4570
savings,2,7,6,1,85.71,0.0000,0.0000,0.0000,269.5288
savings,3,2,2,0,100.00,0.0000,0.0000,,156.3995
savings,4,1,0,1,0.00,0.0000,,0.0000,
savings,5,5,5,0,100.00,0.0000,0.0000,,483.0127
savings,10,5,5,0,100.00,0.0000,0.0000,,866.1551
savings,15,5,5,0,100.00,0.0001,0.0001,,1798.1610
savings,20,5,5,0,100.00,0.0001,0.0001,,2080.0121
savings,30,5,5,0,100.00,0.0002,0.0002,,2896.6152
savings,31,1,1,0,100.00,0.0001,0.0001,,9131.3499
savings,36,1,1,0,100.00,0.0001,0.0001,,8609.0042
savings,44,1,1,0,100.00,0.0002,0.0002,,11890.2483
savings,50,5,5,0,100.00,0.0018,0.0018,,8287.0412
savings,53,1,1,0,100.00,0.0002,0.0002,,14676.9933
savings,59,1,1,0,100.00,0.0004,0.0004,,16393.4516
savings,75,5,5,0,100.00,0.0016,0.0016,,10257.0914
savings,79,1,1,0,100.00,0.0011,0.0011,,19554.4547
savings,100,6,6,0,100.00,0.0063,0.0063,,636620.9084
savings,105,1,1,0,100.00,0.0006,0.0006,,4046491.9885
savings,109,1,1,0,100.00,0.0017,0.0017,,2256210.1999
savings,114,1,0,1,0.00,0.0016,,0.0016,
savings,119,1,1,0,100.00,0.0010,0.0010,,3230183.7225
savings,150,5,5,0,100.00,0.0183,0.0183,,30101.9643
savings,200,5,5,0,100.00,0.0217,0.0217,,37811.1553
tabu,1,60,60,0,100.00,0.0002,0.0002,,142.4570
tabu,2,84,72,12,85.71,0.0004,0.0004,0.0000,249.9230
tabu,3,24,24,0,100.00,0.0001,0.0001,,156.3995
tabu,4,12,0,12,0.00,0.0000,,0.0000,
tabu,5,60,60,0,100.00,0.0008,0.0008,,448.7281
tabu,10,60,60,0,100.00,0.0030,0.0030,,770.1078
tabu,15,60,60,0,100.00,0.0155,0.0155,,1169.9731
tabu,20,60,60,0,100.00,0.0302,0.0302,,1402.5849
tabu,30,60,60,0,100.00,0.0884,0.0884,,2168.8507
tabu,31,12,12,0,100.00,0.0762,0.0762,,9124.5654
tabu,36,12,12,0,100.00,0.1331,0.1331,,8509.5392
tabu,44,12,12,0,100.00,0.2060,0.2060,,11767.5919
tabu,50,60,60,0,100.00,0.3584,0.3584,,4506.7354
tabu,53,12,12,0,100.00,0.3447,0.3447,,13656.1038
tabu,59,12,12,0,100.00,0.4595,0.4595,,16310.5747
tabu,75,60,60,0,100.00,1.3835,1.3835,,7199.9607
tabu,79,12,12,0,100.00,0.9538,0.9538,,19436.4053
tabu,100,72,72,0,100.00,2.8950,2.8950,,623090.5353
tabu,105,12,12,0,100.00,2.5494,2.5494,,3745073.3039
tabu,109,12,12,0,100.00,2.6569,2.6569,,1912472.6469
tabu,114,12,0,12,0.00,2.4593,,2.4593,
tabu,119,12,12,0,100.00,1.7880,1.7880,,3230183.7225
tabu,150,60,60,0,100.00,12.5217,12.5217,,17715.7647
tabu,200,60,60,0,100.00,31.3660,31.3660,,27256.5357
