method,N,n_runs,n_feasible,n_infeasible,feasibility_rate_pct,runtime_mean_all,runtime_mean_feasible,runtime_mean_infeasible,cost_mean_feasible
exact,1,5,5,0,100.00,0.0007,0.0007,,167.8002
exact,2,7,6,1,85.71,0.0047,0.0054,0.0005,316.8636
exact,3,2,2,0,100.00,0.0034,0.0034,,173.8995
exact,4,1,0,1,0.00,0.0010,,0.0010,
exact,5,5,5,0,100.00,0.0471,0.0471,,520.6160
exact,10,5,5,0,100.00,39.5042,39.5042,,968.1200
exact,15,5,5,0,100.00,8800.5640,8800.5640,,1659.2142
exact,20,5,5,0,100.00,15506.8368,15506.8368,,1876.1261
exact,30,5,5,0,100.00,12504.4091,12504.4091,,3041.5752
exact,31,1,1,0,100.00,14220.8050,14220.8050,,7741.7900
exact,36,1,1,0,100.00,18000.0183,18000.0183,,6817.0217
exact,44,1,1,0,100.00,18000.0212,18000.0212,,13225.1083
exact,50,5,5,0,100.00,18000.0311,18000.0311,,7270.6033
exact,53,1,1,0,100.00,18000.0257,18000.0257,,16168.6712
exact,59,1,1,0,100.00,18000.0199,18000.0199,,16987.2957
exact,75,5,4,1,80.00,18000.0500,18000.0602,18000.0095,16045.4981
exact,79,1,1,0,100.00,18000.0580,18000.0580,,25295.6251
exact,100,6,3,3,50.00,18000.0750,18000.1190,18000.0310,35325.3375
exact,105,1,0,1,0.00,18000.0264,,18000.0264,
exact,109,1,0,1,0.00,18000.0244,,18000.0244,
exact,114,1,0,1,0.00,18000.0355,,18000.0355,
exact,119,1,0,1,0.00,18000.0302,,18000.0302,
exact,150,5,0,5,0.00,18000.1770,,18000.1770,
exact,200,5,0,5,0.00,18000.3676,,18000.3676,
ga,1,240,240,0,100.00,0.2487,0.2487,,167.8002
ga,2,336,288,48,85.71,0.3181,0.3199,0.3073,347.5661
ga,3,96,96,0,100.00,0.3966,0.3966,,173.8995
ga,4,48,0,48,0.00,0.4506,,0.4506,
ga,5,240,240,0,100.00,0.4863,0.4863,,534.0200
ga,10,240,240,0,100.00,0.7511,0.7511,,1079.1692
ga,15,240,240,0,100.00,1.0087,1.0087,,2530.2426
ga,20,240,240,0,100.00,1.3335,1.3335,,2551.2300
ga,30,240,240,0,100.00,2.0299,2.0299,,3821.5156
ga,31,48,48,0,100.00,2.1419,2.1419,,10037.7165
ga,36,48,48,0,100.00,2.5111,2.5111,,9400.0882
ga,44,48,48,0,100.00,3.1127,3.1127,,12847.5523
ga,50,240,240,0,100.00,3.5154,3.5154,,10761.8370
ga,53,48,48,0,100.00,3.8257,3.8257,,15657.4701
ga,59,48,48,0,100.00,4.3580,4.3580,,19092.6364
ga,75,240,240,0,100.00,5.7640,5.7640,,15910.9113
ga,79,48,48,0,100.00,5.9752,5.9752,,22850.1137
ga,100,288,288,0,100.00,8.1537,8.1537,,724974.4086
ga,105,48,48,0,100.00,8.1307,8.1307,,4283663.8587
ga,109,48,48,0,100.00,8.5594,8.5594,,2521772.4960
