method,N,n_runs,n_feasible,n_infeasible,feasibility_rate_pct,runtime_mean_all,runtime_mean_feasible,runtime_mean_infeasible,cost_mean_feasible
exact,1,5,5,0,100.00,0.0007,0.0007,,218.4867
exact,2,7,6,1,85.71,0.0046,0.0053,0.0004,450.7449
exact,3,2,2,0,100.00,0.0035,0.0035,,208.8995
exact,4,1,0,1,0.00,0.0009,,0.0009,
exact,5,5,5,0,100.00,0.0448,0.0448,,677.8649
exact,10,5,5,0,100.00,32.2946,32.2946,,1358.9903
exact,15,5,5,0,100.00,12147.7482,12147.7482,,2673.0513
exact,20,5,5,0,100.00,18000.0038,18000.0038,,2832.6212
exact,30,5,5,0,100.00,18000.0080,18000.0080,,4328.2809
exact,31,1,1,0,100.00,18000.0151,18000.0151,,9749.7887
exact,36,1,1,0,100.00,18000.0143,18000.0143,,8594.0220
exact,44,1,1,0,100.00,18000.0192,18000.0192,,13458.2811
exact,50,5,5,0,100.00,18000.0296,18000.0296,,13758.8581
exact,53,1,1,0,100.00,18000.0138,18000.0138,,18953.6428
exact,59,1,1,0,100.00,18000.0182,18000.0182,,20262.1567
exact,75,5,3,2,60.00,18000.0459,18000.0694,18000.0108,26333.1603
exact,79,1,1,0,100.00,18000.0509,18000.0509,,29865.8273
exact,100,6,1,5,16.67,18000.0375,18000.0882,18000.0274,68042.3131
exact,105,1,1,0,100.00,18000.0984,18000.0984,,5079314.6302
exact,109,1,0,1,0.00,18000.0258,,18000.0258,
exact,114,1,1,0,100.00,18000.0920,18000.0920,,3097325.5543
exact,119,1,1,0,100.00,18000.0806,18000.0806,,4377147.6800
exact,150,5,0,5,0.00,18000.2812,,18000.2812,
exact,200,5,0,5,0.00,18000.2961,,18000.2961,
ga,1,240,240,0,100.00,0.2495,0.2495,,218.4867
ga,2,336,288,48,85.71,0.3188,0.3208,0.3069,503.6408
ga,3,96,96,0,100.00,0.3956,0.3956,,208.8995
ga,4,48,0,48,0.00,0.4527,,0.4527,
ga,5,240,240,0,100.00,0.4867,0.4867,,697.9838
ga,10,240,240,0,100.00,0.7562,0.7562,,1565.8450
ga,15,240,240,0,100.00,1.0148,1.0148,,4030.3353
ga,20,240,240,0,100.00,1.3313,1.3313,,4131.3896
ga,30,240,240,0,100.00,2.0522,2.0522,,5957.9378
ga,31,48,48,0,100.00,2.1400,2.1400,,11713.6877
ga,36,48,48,0,100.00,2.5311,2.5311,,10451.4864
ga,44,48,48,0,100.00,3.1306,3.1306,,13931.3858
ga,50,240,240,0,100.00,3.5372,3.5372,,18023.6238
ga,53,48,48,0,100.00,3.8371,3.8371,,18516.0505
ga,59,48,48,0,100.00,4.3751,4.3751,,21856.8952
ga,75,240,240,0,100.00,5.7795,5.7795,,25258.4977
ga,79,48,48,0,100.00,6.0473,6.0473,,27084.2285
ga,100,288,288,0,100.00,8.2365,8.2365,,745382.2058
ga,105,48,48,0,100.00,8.1178,8.1178,,4327575.8285
ga,109,48,48,0,100.00,8.4574,8.4574,,2603943.5751
