method,N,n_runs,n_feasible,n_infeasible,feasibility_rate_pct,runtime_mean_all,runtime_mean_feasible,runtime_mean_infeasible,cost_mean_feasible
exact,1,5,5,0,100.00,0.0007,0.0007,,122.1824
exact,2,7,6,1,85.71,0.0047,0.0054,0.0004,196.3704
exact,3,2,2,0,100.00,0.0032,0.0032,,141.8345
exact,4,1,0,1,0.00,0.0009,,0.0009,
exact,5,5,5,0,100.00,0.0479,0.0479,,377.0784
exact,10,5,5,0,100.00,3.4620,3.4620,,562.8364
exact,15,5,5,0,100.00,1376.9710,1376.9710,,710.0376
exact,20,5,5,0,100.00,15944.0750,15944.0750,,861.5727
exact,30,5,5,0,100.00,15241.6615,15241.6615,,1399.2548
exact,31,1,1,0,100.00,10274.4327,10274.4327,,6448.0451
exact,36,1,1,0,100.00,14445.4509,14445.4509,,6088.8496
exact,44,1,1,0,100.00,18000.0148,18000.0148,,10360.6841
exact,50,5,5,0,100.00,12123.1818,12123.1818,,2877.5488
exact,53,1,1,0,100.00,13324.9043,13324.9043,,12506.4124
exact,59,1,1,0,100.00,18000.0223,18000.0223,,14634.3977
exact,75,5,3,2,60.00,16364.2301,15273.7095,18000.0111,5708.2315
exact,79,1,1,0,100.00,18000.0597,18000.0597,,18814.2436
exact,100,6,5,1,83.33,18000.1211,18000.1392,18000.0304,9569.8592
exact,105,1,0,1,0.00,18000.0205,,18000.0205,
exact,109,1,0,1,0.00,18000.0262,,18000.0262,
exact,114,1,0,1,0.00,18000.0429,,18000.0429,
exact,119,1,0,1,0.00,18000.0274,,18000.0274,
exact,150,5,0,5,0.00,18000.1515,,18000.1515,
exact,200,5,0,5,0.00,18000.3870,,18000.3870,
ga,1,240,240,0,100.00,0.2467,0.2467,,122.1824
ga,2,336,288,48,85.71,0.3160,0.3180,0.3041,207.0989
ga,3,96,96,0,100.00,0.3948,0.3948,,141.8345
ga,4,48,0,48,0.00,0.4468,,0.4468,
ga,5,240,240,0,100.00,0.4844,0.4844,,378.7324
ga,10,240,240,0,100.00,0.7466,0.7466,,605.9130
ga,15,240,240,0,100.00,1.0036,1.0036,,806.1700
ga,20,240,240,0,100.00,1.3268,1.3268,,951.5093
ga,30,240,240,0,100.00,1.9898,1.9898,,1642.2533
ga,31,48,48,0,100.00,2.1173,2.1173,,8469.3619
ga,36,48,48,0,100.00,2.4936,2.4936,,8361.8469
ga,44,48,48,0,100.00,3.1089,3.1089,,11744.1353
ga,50,240,240,0,100.00,3.4460,3.4460,,3506.9041
ga,53,48,48,0,100.00,3.7988,3.7988,,12950.9260
ga,59,48,48,0,100.00,4.3341,4.3341,,16394.0890
ga,75,240,240,0,100.00,5.6425,5.6425,,6348.0708
ga,79,48,48,0,100.00,5.9518,5.9518,,18719.1433
ga,100,288,288,0,100.00,7.9100,7.9100,,705441.2286
ga,105,48,48,0,100.00,8.0693,8.0693,,4186318.9447
ga,109,48,48,0,100.00,8.4402,8.4402,,2502642.3438
ga,114,48,3,45,6.25,8.9988,22.0350,8.1297,2382650.3222
ga,119,48,48,0,100.00,8.4568,8.4568,,3416617.4427
ga,150,240,240,0,100.00,14.3026,14.3026,,20926.3095
ga,200,240,240,0,100.00,26.6579,26.6579,,35550.3708
savings,1,5,5,0,100.00,0.0000,0.0000,,122.1824
savings,2,7,6,1,85.71,0.0000,0.0000,0.0000,207.0989
savings,3,2,2,0,100.00,0.0000,0.0000,,141.8345
savings,4,1,0,1,0.00,0.0000,,0.0000,
savings,5,5,5,0,100.00,0.0000,0.0000,,399.1676
savings,10,5,5,0,100.00,0.0000,0.0000,,607.0935
savings,15,5,5,0,100.00,0.0001,0.0001,,849.3150
savings,20,5,5,0,100.00,0.0001,0.0001,,1038.9130
savings,30,5,5,0,100.00,0.0002,0.0002,,1620.3071
savings,31,1,1,0,100.00,0.0002,0.0002,,8426.1905
savings,36,1,1,0,100.00,0.0002,0.0002,,8210.9279
savings,44,1,1,0,100.00,0.0002,0.0002,,11455.5784
savings,50,5,5,0,100.00,0.0013,0.0013,,3429.7106
savings,53,1,1,0,100.00,0.0003,0.0003,,13526.8769
savings,59,1,1,0,100.00,0.0002,0.0002,,15325.4788
savings,75,5,5,0,100.00,0.0013,0.0013,,5153.3244
savings,79,1,1,0,100.00,0.0007,0.0007,,17543.2293
savings,100,6,6,0,100.00,0.0041,0.0041,,627429.0121
savings,105,1,1,0,100.00,0.0013,0.0013,,4021449.7094
savings,109,1,1,0,100.00,0.0021,0.0021,,2240487.3599
savings,114,1,0,1,0.00,0.0009,,0.0009,
savings,119,1,1,0,100.00,0.0020,0.0020,,3194120.5237
savings,150,5,5,0,100.00,0.0129,0.0129,,13643.4088
savings,200,5,5,0,100.00,0.0198,0.0198,,19967.8684
tabu,1,60,60,0,100.00,0.0002,0.0002,,122.1824
tabu,2,84,72,12,85.71,0.0004,0.0005,0.0000,196.3704
tabu,3,24,24,0,100.00,0.0001,0.0001,,141.8345
tabu,4,12,0,12,0.00,0.0001,,0.0001,
tabu,5,60,60,0,100.00,0.0011,0.0011,,379.7121
