method,N,n_runs,n_feasible,n_infeasible,feasibility_rate_pct,runtime_mean_all,runtime_mean_feasible,runtime_mean_infeasible,cost_mean_feasible
exact,1,5,5,0,100.00,0.0006,0.0006,,370.5461
exact,2,7,6,1,85.71,0.0047,0.0053,0.0009,852.3889
exact,3,2,2,0,100.00,0.0032,0.0032,,313.8995
exact,4,1,0,1,0.00,0.0009,,0.0009,
exact,5,5,5,0,100.00,0.0449,0.0449,,1133.6528
exact,10,5,5,0,100.00,35.5533,35.5533,,2526.1717
exact,15,5,5,0,100.00,16408.9432,16408.9432,,5679.3306
exact,20,5,5,0,100.00,18000.0023,18000.0023,,5766.9225
exact,30,5,5,0,100.00,13807.2459,13807.2459,,8816.3619
exact,31,1,1,0,100.00,18000.0080,18000.0080,,14061.0143
exact,36,1,1,0,100.00,18000.0087,18000.0087,,11748.3895
exact,44,1,1,0,100.00,12979.9191,12979.9191,,18357.4014
exact,50,5,5,0,100.00,18000.0299,18000.0299,,24348.1359
exact,53,1,1,0,100.00,18000.0164,18000.0164,,26234.6103
exact,59,1,1,0,100.00,18000.0180,18000.0180,,28511.2899
exact,75,5,4,1,80.00,18000.0552,18000.0635,18000.0219,53552.3594
exact,79,1,1,0,100.00,18000.0643,18000.0643,,42641.6479
exact,100,6,1,5,16.67,18000.8442,18000.1839,18000.9762,89123.6684
exact,105,1,0,1,0.00,18000.0200,,18000.0200,
exact,109,1,1,0,100.00,18000.0945,18000.0945,,2770151.9990
exact,114,1,0,1,0.00,18000.1106,,18000.1106,
exact,119,1,1,0,100.00,18000.1733,18000.1733,,4862063.1873
exact,150,5,0,5,0.00,18000.3578,,18000.3578,
exact,200,5,0,5,0.00,18001.1992,,18001.1992,
ga,1,240,240,0,100.00,0.2492,0.2492,,370.5461
ga,2,336,288,48,85.71,0.3185,0.3204,0.3072,971.8647
ga,3,96,96,0,100.00,0.3976,0.3976,,313.8995
ga,4,48,0,48,0.00,0.4509,,0.4509,
ga,5,240,240,0,100.00,0.4863,0.4863,,1171.4417
ga,10,240,240,0,100.00,0.7563,0.7563,,3008.9076
ga,15,240,240,0,100.00,1.0144,1.0144,,8963.3154
ga,20,240,240,0,100.00,1.3378,1.3378,,9176.6398
ga,30,240,240,0,100.00,2.0530,2.0530,,12263.2617
ga,31,48,48,0,100.00,2.1639,2.1639,,16374.2495
ga,36,48,48,0,100.00,2.5249,2.5249,,13342.7045
ga,44,48,48,0,100.00,3.1435,3.1435,,17240.2512
ga,50,240,240,0,100.00,3.5534,3.5534,,39600.4588
ga,53,48,48,0,100.00,3.8699,3.8699,,26590.6388
ga,59,48,48,0,100.00,4.4234,4.4234,,30224.7018
ga,75,240,240,0,100.00,5.8232,5.8232,,50488.0024
ga,79,48,48,0,100.00,6.1177,6.1177,,39605.9529
ga,100,288,288,0,100.00,8.3158,8.3158,,805731.2033
ga,105,48,48,0,100.00,8.1284,8.1284,,4528618.3736
ga,109,48,48,0,100.00,8.4663,8.4663,,2744796.2239
ga,114,48,5,43,10.42,9.4272,21.4310,8.0314,2584760.9298
ga,119,48,48,0,100.00,8.6582,8.6582,,4003099.3567
ga,150,240,240,0,100.00,15.3961,15.3961,,167701.4627
ga,200,240,240,0,100.00,27.6123,27.6123,,253235.1972
savings,1,5,5,0,100.00,0.0000,0.0000,,370.5461
savings,2,7,6,1,85.71,0.0000,0.0000,0.0000,971.8647
savings,3,2,2,0,100.00,0.0000,0.0000,,313.8995
savings,4,1,0,1,0.00,0.0000,,0.0000,
savings,5,5,5,0,100.00,0.0000,0.0000,,1365.4182
savings,10,5,5,0,100.00,0.0000,0.0000,,3534.6924
savings,15,5,5,0,100.00,0.0001,0.0001,,11023.0635
savings,20,5,5,0,100.00,0.0001,0.0001,,12506.1460
savings,30,5,5,0,100.00,0.0002,0.0002,,15872.8960
savings,31,1,1,0,100.00,0.0002,0.0002,,17018.9478
savings,36,1,1,0,100.00,0.0002,0.0002,,12647.1524
savings,44,1,1,0,100.00,0.0002,0.0002,,16369.0688
savings,50,5,5,0,100.00,0.0020,0.0020,,59506.8757
savings,53,1,1,0,100.00,0.0002,0.0002,,26639.3926
savings,59,1,1,0,100.00,0.0004,0.0004,,27841.8752
savings,75,5,5,0,100.00,0.0023,0.0023,,64607.5412
savings,79,1,1,0,100.00,0.0012,0.0012,,39608.2373
savings,100,6,6,0,100.00,0.0123,0.0123,,734843.7375
savings,105,1,1,0,100.00,0.0008,0.0008,,4328217.6282
savings,109,1,1,0,100.00,0.0010,0.0010,,2428707.7302
savings,114,1,0,1,0.00,0.0023,,0.0023,
savings,119,1,1,0,100.00,0.0010,0.0010,,3628778.1039
savings,150,5,5,0,100.00,0.0402,0.0402,,205465.3691
savings,200,5,5,0,100.00,0.0672,0.0672,,223883.5600
tabu,1,60,60,0,100.00,0.0002,0.0002,,370.5461
tabu,2,84,72,12,85.71,0.0004,0.0004,0.0000,852.3889
tabu,3,24,24,0,100.00,0.0001,0.0001,,313.8995
tabu,4,12,0,12,0.00,0.0000,,0.0000,
tabu,5,60,60,0,100.00,0.0008,0.0008,,1135.5573
tabu,10,60,60,0,100.00,0.0023,0.0023,,2547.3387
tabu,15,60,60,0,100.00,0.0115,0.0115,,5687.8971
tabu,20,60,60,0,100.00,0.0341,0.0341,,5773.7518
tabu,30,60,60,0,100.00,0.1149,0.1149,,8423.4338
tabu,31,12,12,0,100.00,0.0784,0.0784,,15729.8241
tabu,36,12,12,0,100.00,0.1144,0.1144,,11349.6901
tabu,44,12,12,0,100.00,0.2070,0.2070,,16009.1175
tabu,50,60,60,0,100.00,0.6025,0.6025,,18752.8704
tabu,53,12,12,0,100.00,0.5007,0.5007,,24998.2995
tabu,59,12,12,0,100.00,0.4635,0.4635,,27754.7528
tabu,75,60,60,0,100.00,2.3170,2.3170,,26570.4042
tabu,79,12,12,0,100.00,1.1182,1.1182,,36081.7585
tabu,100,72,72,0,100.00,4.6527,4.6527,,665603.6140
tabu,105,12,12,0,100.00,2.6074,2.6074,,4007714.6007
tabu,109,12,12,0,100.00,3.1362,3.1362,,2032938.2630
tabu,114,12,0,12,0.00,2.4425,,2.4425,
tabu,119,12,12,0,100.00,1.8266,1.8266,,3628778.1039
tabu,150,60,60,0,100.00,19.6956,19.6956,,54170.3132
tabu,200,60,60,0,100.00,73.8095,73.8095,,78303.3484
