method,N,n_runs,n_feasible,n_infeasible,feasibility_rate_pct,runtime_mean_all,runtime_mean_feasible,runtime_mean_infeasible,cost_mean_feasible
exact,1,5,5,0,100.00,0.0007,0.0007,,129.7854
exact,2,7,6,1,85.71,0.0048,0.0055,0.0004,216.4526
exact,3,2,2,0,100.00,0.0031,0.0031,,147.6495
exact,4,1,0,1,0.00,0.0010,,0.0010,
exact,5,5,5,0,100.00,0.0509,0.0509,,402.6793
exact,10,5,5,0,100.00,10.0971,10.0971,,646.3444
exact,15,5,5,0,100.00,5503.9563,5503.9563,,886.2338
exact,20,5,5,0,100.00,18000.0034,18000.0034,,1068.8344
exact,30,5,5,0,100.00,12449.5911,12449.5911,,1765.0515
exact,31,1,1,0,100.00,13963.1884,13963.1884,,6764.4224
exact,36,1,1,0,100.00,18000.0050,18000.0050,,6225.2615
exact,44,1,1,0,100.00,13327.9022,13327.9022,,10679.9367
exact,50,5,5,0,100.00,13596.8170,13596.8170,,3971.9607
exact,53,1,1,0,100.00,18000.0277,18000.0277,,12760.8000
exact,59,1,1,0,100.00,18000.0497,18000.0497,,15088.8010
exact,75,5,4,1,80.00,16907.2832,16634.1015,18000.0097,7723.7445
exact,79,1,1,0,100.00,18000.0478,18000.0478,,20194.6107
exact,100,6,3,3,50.00,18000.0846,18000.1337,18000.0355,12435.4922
exact,105,1,0,1,0.00,18000.0348,,18000.0348,
exact,109,1,0,1,0.00,18000.0249,,18000.0249,
exact,114,1,0,1,0.00,18000.0251,,18000.0251,
exact,119,1,0,1,0.00,18000.0274,,18000.0274,
exact,150,5,0,5,0.00,18000.2206,,18000.2206,
exact,200,5,0,5,0.00,18000.4320,,18000.4320,
ga,1,240,240,0,100.00,0.2474,0.2474,,129.7854
ga,2,336,288,48,85.71,0.3163,0.3183,0.3044,230.5101
ga,3,96,96,0,100.00,0.3938,0.3938,,147.6495
ga,4,48,0,48,0.00,0.4454,,0.4454,
ga,5,240,240,0,100.00,0.4842,0.4842,,406.4845
ga,10,240,240,0,100.00,0.7515,0.7515,,694.9586
ga,15,240,240,0,100.00,1.0019,1.0019,,1131.4324
ga,20,240,240,0,100.00,1.3214,1.3214,,1270.1750
ga,30,240,240,0,100.00,2.0084,2.0084,,2089.0015
ga,31,48,48,0,100.00,2.1277,2.1277,,8734.9922
ga,36,48,48,0,100.00,2.5079,2.5079,,8557.7081
ga,44,48,48,0,100.00,3.1062,3.1062,,11980.6238
ga,50,240,240,0,100.00,3.4776,3.4776,,4987.1525
ga,53,48,48,0,100.00,3.8031,3.8031,,13422.0080
ga,59,48,48,0,100.00,4.3593,4.3593,,16882.8905
ga,75,240,240,0,100.00,5.6755,5.6755,,8505.6149
ga,79,48,48,0,100.00,5.9261,5.9261,,19471.1468
ga,100,288,288,0,100.00,7.9931,7.9931,,708371.6190
ga,105,48,48,0,100.00,8.1075,8.1075,,4216557.9216
ga,109,48,48,0,100.00,8.5227,8.5227,,2520846.2693
ga,114,48,4,44,8.33,9.3256,24.1196,7.9806,2316586.1507
ga,119,48,48,0,100.00,8.5540,8.5540,,3431215.4706
ga,150,240,240,0,100.00,14.5432,14.5432,,27400.0327
ga,200,240,240,0,100.00,26.5985,26.5985,,45739.5173
savings,1,5,5,0,100.00,0.0000,0.0000,,129.7854
savings,2,7,6,1,85.71,0.0000,0.0000,0.0000,230.5101
savings,3,2,2,0,100.00,0.0000,0.0000,,147.6495
savings,4,1,0,1,0.00,0.0000,,0.0000,
savings,5,5,5,0,100.00,0.0000,0.0000,,432.5293
savings,10,5,5,0,100.00,0.0000,0.0000,,707.6383
savings,15,5,5,0,100.00,0.0001,0.0001,,1210.9583
savings,20,5,5,0,100.00,0.0001,0.0001,,1465.9477
savings,30,5,5,0,100.00,0.0003,0.0003,,2127.7315
savings,31,1,1,0,100.00,0.0002,0.0002,,8693.1500
savings,36,1,1,0,100.00,0.0001,0.0001,,8352.3226
savings,44,1,1,0,100.00,0.0002,0.0002,,11620.9706
savings,50,5,5,0,100.00,0.0014,0.0014,,5377.8737
savings,53,1,1,0,100.00,0.0004,0.0004,,13951.4930
savings,59,1,1,0,100.00,0.0005,0.0005,,15733.5647
savings,75,5,5,0,100.00,0.0008,0.0008,,7186.9602
savings,79,1,1,0,100.00,0.0011,0.0011,,18339.4408
savings,100,6,6,0,100.00,0.0064,0.0064,,630919.4251
savings,105,1,1,0,100.00,0.0019,0.0019,,4030840.5640
savings,109,1,1,0,100.00,0.0007,0.0007,,2246418.8285
savings,114,1,0,1,0.00,0.0008,,0.0008,
savings,119,1,1,0,100.00,0.0022,0.0022,,3207644.2232
savings,150,5,5,0,100.00,0.0150,0.0150,,20087.5359
savings,200,5,5,0,100.00,0.0213,0.0213,,26692.7039
tabu,1,60,60,0,100.00,0.0002,0.0002,,129.7854
tabu,2,84,72,12,85.71,0.0004,0.0004,0.0000,216.4526
tabu,3,24,24,0,100.00,0.0001,0.0001,,147.6495
tabu,4,12,0,12,0.00,0.0000,,0.0000,
tabu,5,60,60,0,100.00,0.0011,0.0011,,410.7721
tabu,10,60,60,0,100.00,0.0037,0.0037,,647.0401
tabu,15,60,60,0,100.00,0.0132,0.0132,,919.9785
tabu,20,60,60,0,100.00,0.0241,0.0241,,1100.6344
tabu,30,60,60,0,100.00,0.0893,0.0893,,1737.9716
tabu,31,12,12,0,100.00,0.0752,0.0752,,8686.0988
tabu,36,12,12,0,100.00,0.1449,0.1449,,8253.5519
tabu,44,12,12,0,100.00,0.2054,0.2054,,11523.6355
tabu,50,60,60,0,100.00,0.3924,0.3924,,3507.0993
tabu,53,12,12,0,100.00,0.3198,0.3198,,13032.3757
tabu,59,12,12,0,100.00,0.4595,0.4595,,15654.1289
tabu,75,60,60,0,100.00,1.0957,1.0957,,5822.0975
tabu,79,12,12,0,100.00,0.9507,0.9507,,18262.3220
tabu,100,72,72,0,100.00,2.5797,2.5797,,620143.7076
tabu,105,12,12,0,100.00,2.5412,2.5412,,3730005.3521
tabu,109,12,12,0,100.00,2.6576,2.6576,,1903868.9961
tabu,114,12,0,12,0.00,2.4898,,2.4898,
tabu,119,12,12,0,100.00,1.7941,1.7941,,3207644.2232
tabu,150,60,60,0,100.00,10.2582,10.2582,,14396.6025
tabu,200,60,60,0,100.00,32.9741,32.9741,,22175.7017
